name,address,ticker,sector
PPG Industries,"Pittsburgh, Pennsylvania",PPG,Materials
PPL Corp.,"Allentown, Pennsylvania",PPL,Utilities
Praxair Inc.,"Danbury, Connecticut",PX,Materials
Principal Financial Group,"Des Moines, Iowa",PFG,Financials
Procter & Gamble,"Cincinnati, Ohio",PG,Consumer Staples
Progressive Corp.,"Mayfield Village, Ohio",PGR,Financials
Prologis,"San Francisco, California",PLD,Real Estate
Prudential Financial,"Newark, New Jersey",PRU,Financials
Public Serv. Enterprise Inc.,"Newark, New Jersey",PEG,Utilities
Public Storage,"Glendale, California",PSA,Real Estate
Pulte Homes Inc.,"Atlanta, Georgia",PHM,Consumer Discretionary
PVH Corp.,"New York, New York",PVH,Consumer Discretionary
Qorvo,"Greensboro, North Carolina",QRVO,Information Technology
Quanta Services Inc.,"Houston, Texas",PWR,Industrials
QUALCOMM Inc.,"San Diego, California",QCOM,Information Technology
Quest Diagnostics,"Madison, New Jersey",DGX,Health Care
Range Resources Corp.,"Fort Worth, Texas",RRC,Energy
Raymond James Financial Inc.,"St. Petersburg, Florida",RJF,Financials
Raytheon Co.,"Waltham, Massachusetts",RTN,Industrials
Realty Income Corporation,"San Diego, California",O,Real Estate
Red Hat Inc.,"Raleigh, North Carolina",RHT,Information Technology
Regency Centers Corporation,"Jacksonville, Florida",REG,Real Estate
Regeneron,"Tarrytown, New York",REGN,Health Care
Regions Financial Corp.,"Birmingham, Alabama",RF,Financials
Republic Services Inc,"Phoenix, Arizona",RSG,Industrials
ResMed,"San Diego, California",RMD,Health Care
Robert Half International,"Menlo Park, California",RHI,Industrials
Rockwell Automation Inc.,"Milwaukee, Wisconsin",ROK,Industrials
Rockwell Collins,"Cedar Rapids, Iowa",COL,Industrials
Roper Technologies,"Sarasota, Florida",ROP,Industrials
Ross Stores,"Pleasanton, California",ROST,Consumer Discretionary
Royal Caribbean Cruises Ltd,"Miami, Florida",RCL,Consumer Discretionary
Salesforce.com,"San Francisco, California",CRM,Information Technology
SBA Communications,"Boca Raton, Florida",SBAC,Real Estate
SCANA Corp,"Cayce, South Carolina",SCG,Utilities
Schlumberger Ltd.,"Curaçao, Kingdom of the Netherlands",SLB,Energy
Seagate Technology,"Dublin, Ireland",STX,Information Technology
Sealed Air,"Elmwood Park, New Jersey",SEE,Materials
Sempra Energy,"San Diego, California",SRE,Utilities
Sherwin-Williams,"Cleveland, Ohio",SHW,Materials
Simon Property Group Inc,"Indianapolis, Indiana",SPG,Real Estate
Skyworks Solutions,"Woburn, Massachusetts",SWKS,Information Technology
SL Green Realty,"New York, New York",SLG,Real Estate
Snap-On Inc.,"Kenosha, Wisconsin",SNA,Consumer Discretionary
Southern Co.,"Atlanta, Georgia",SO,Utilities
Southwest Airlines,"Dallas, Texas",LUV,Industrials
"S&P Global, Inc.","New York, New York",SPGI,Financials
Stanley Black & Decker,"New Britain, Connecticut",SWK,Consumer Discretionary
Starbucks Corp.,"Seattle, Washington",SBUX,Consumer Discretionary
State Street Corp.,"Boston, Massachusetts",STT,Financials
Stericycle Inc,"Lake Forest, Illinois",SRCL,Industrials
Stryker Corp.,"Kalamazoo, Michigan",SYK,Health Care
SunTrust Banks,"Atlanta, Georgia",STI,Financials
SVB Financial,"Santa Clara, California",SIVB,Financials
Symantec Corp.,"Mountain View, California",SYMC,Information Technology
Synchrony Financial,"Stamford, Connecticut",SYF,Financials
Synopsys Inc.,"Mountain View, California",SNPS,Information Technology
Sysco Corp.,"Houston, Texas",SYY,Consumer Staples
T. Rowe Price Group,"Baltimore, Maryland",TROW,Financials
Take-Two Interactive,"New York, NY",TTWO,Information Technology
"Tapestry, Inc.","New York, New York",TPR,Consumer Discretionary
Target Corp.,"Minneapolis, Minnesota",TGT,Consumer Discretionary
TE Connectivity Ltd.,"Schaffhausen, Switzerland",TEL,Information Technology
TechnipFMC,"London, United Kingdom",FTI,Energy
Texas Instruments,"Dallas, Texas",TXN,Information Technology
Textron Inc.,"Providence, Rhode Island",TXT,Industrials
Thermo Fisher Scientific,"Waltham, Massachusetts",TMO,Health Care
Tiffany & Co.,"New York, New York",TIF,Consumer Discretionary
Time Warner Inc.,"New York, New York",TWX,Consumer Discretionary
TJX Companies Inc.,"Framingham, Massachusetts",TJX,Consumer Discretionary
Torchmark Corp.,"McKinney, Texas",TMK,Financials
Total System Services,"Columbus, Georgia",TSS,Information Technology
Tractor Supply Company,"Brentwood, Tennessee",TSCO,Consumer Discretionary
TransDigm Group,"Cleveland, Ohio",TDG,Industrials
The Travelers Companies Inc.,"New York, New York",TRV,Financials
TripAdvisor,"Newton, Massachusetts",TRIP,Consumer Discretionary
Twenty-First Century Fox Class A,"New York, New York",FOXA,Consumer Discretionary
Twenty-First Century Fox Class B,"New York, New York",FOX,Consumer Discretionary
Tyson Foods,"Springdale, Arkansas",TSN,Consumer Staples
UDR Inc,"Highlands Ranch, Colorado",UDR,Real Estate
